sample	rc	libs
SRR5983425	3029	6296564
SRR5983426	322	766726
SRR5983427	3215	7974157
SRR5983428	5539	12780416
SRR5983429	7099	16802959
SRR5983430	3376	12181987
SRR5983431	806	1826927
SRR5983432	4147	10042335
SRR5983433	2611	7318571
SRR5983434	2360	4813361
SRR5983435	3944	9450477
SRR5983436	1565	7739410
SRR5983437	6532	9899733
SRR5983438	7419	11408374
SRR5983439	3017	10263001
SRR5983440	4166	6764242
SRR5983441	5495	14086751
SRR5983442	248	810612
SRR5983443	1794	2433674
SRR5983444	3502	8798490
SRR5983445	2585	4062645
SRR5983446	3210	13492680
SRR5983447	5862	11526627
SRR5983448	6182	8800873
SRR5983449	7340	19262721
SRR5983450	3925	10509437
SRR5983451	5627	9030914
SRR5983459	3847	4959740
SRR5983462	3935	8231303
SRR5983463	15247	19095910
SRR5983464	2474	5582198
SRR5983465	216	439925
SRR5983466	2910	5927544
SRR5983467	2562	4924226
SRR5983468	4696	11859196
SRR5983469	4855	13522741
SRR5983470	1618	3009178
SRR5983471	5310	14931986
SRR5983472	9454	12586293
SRR5983473	6974	16539628
SRR5983475	2587	9081650
SRR5983474	2382	8746421
SRR5983476	3211	6503354
SRR5983477	8302	13417225
SRR5983478	5579	14164954
SRR5983479	4494	4298919
SRR5983481	5775	13022067
SRR5983480	6685	12544812
SRR5983484	192	431340
