sample	rc	libs
SRR5936156	4324	10091794
SRR5936159	4013	10804716
SRR5936160	2787	9987860
SRR5936161	5496	13062160
SRR5936163	2269	6093131
SRR5936168	3697	8704243
SRR5936169	10249	10097360
SRR5936170	4544	10714983
SRR5936171	6889	10906442
SRR5936176	3891	10657695
SRR5936177	4649	7174664
SRR5936178	2763	7966619
SRR5936181	4841	11761580
SRR5936182	1795	5599580
SRR5936185	4080	8506900
SRR5936186	11843	9529202
SRR5936189	4031	5123401
SRR5936195	5678	12275361
SRR5936196	7473	13823409
SRR5936198	3580	8679455
SRR5936199	9966	13306108
SRR5936201	8753	17288519
SRR5936203	7391	10627698
SRR5936204	4763	10353428
SRR5936206	3759	10061086
SRR5936207	12962	12419272
SRR5936210	6473	7680407
SRR5936212	6461	17299527
SRR5936213	4348	8625570
SRR5936214	4304	10793757
SRR5936215	4331	9765396
SRR5936216	2160	5860839
SRR5936217	7679	13037895
SRR5936218	4515	13781335
SRR5936219	2449	7067061
SRR5936221	13764	22581524
SRR5936222	14330	13299121
SRR5936223	4104	4977707
SRR5936224	3909	10547414
SRR5936225	1991	5109272
SRR5936226	2126	4156425
SRR5936227	4147	11013609
SRR5936230	9977	10523968
SRR5936231	9153	10201583
SRR5936232	1883	6341614
SRR5936235	3840	11961632
SRR5936236	3568	8954078
SRR5936238	5667	14290299
SRR5946605	2096	5335924
SRR5946606	2704	7278891
SRR5946607	10281	8358860
SRR5946608	4832	9898413
SRR5946609	4264	10179737
SRR5946610	13122	12098796
SRR5946612	3364	9910796
SRR5946613	5573	13086320
SRR5946616	3637	8558374
SRR5946617	4813	11571571
SRR5946619	1509	4532478
SRR5946620	3758	12538539
SRR5946621	4414	12015766
SRR5946622	3442	6254370
SRR5946623	4370	14183480
SRR5946625	3115	6414910
SRR5946626	11593	16340471
SRR5946628	6190	15792240
SRR5946633	2818	4239388
SRR5946634	4012	9652002
SRR5946636	2666	10188691
SRR5946637	5338	6557972
SRR5946641	4783	9878709
SRR5946642	4836	10741064
